id,CODE,KEY,EN Phrase Formula,EN,FR,
1,"""common.btn.logOut"": ""Logout"",",common.btn.logOut, Logout, Logout, Logout,
2,"""common.btn.new"": ""+ New"",",common.btn.new, + New, + New, + New,
3,"""common.btn.modify"": ""Edit"",",common.btn.modify, Edit, Edit, Edit,
4,"""common.btn.modify.lower"": ""edit"",",common.btn.modify.lower, edit, edit, edit,
5,"""common.btn.save"": ""Save"",",common.btn.save, Save, Save, Save,
6,"""common.btn.cancel"": ""Cancel"",",common.btn.cancel, Cancel, Cancel, Cancel,
7,"""common.btn.upload"": ""Upload"",",common.btn.upload, Upload, Upload, Upload,
8,"""common.btn.add.field"": ""Add field"",",common.btn.add.field, Add field, Add field, Add field,
9,"""common.btn.duplicate"": ""Duplicate"",",common.btn.duplicate, Duplicate, Duplicate, Duplicate,
10,"""common.title.create"": ""Create"",",common.title.create, Create, Create, Create,
11,"""common.title.delete"": ""Delete"",",common.title.delete, Delete, Delete, Delete,
12,"""common.title.view"": ""View"",",common.title.view, View, View, View,
13,"""common.copyright"": ""Created by EVOHOM"",",common.copyright, Created by EVOHOM, Created by EVOHOM, Created by EVOHOM,
14,"""common.validation.required"": ""Field is required"",",common.validation.required, Field is required, Field is required, Field is required,
15,"""common.label.source"": ""Source"",",common.label.source, Source, Source, Source,
16,"""common.label.target"": ""Target"",",common.label.target, Target, Target, Target,
17,"""common.error.internalServerError"": ""System internal error!"",",common.error.internalServerError, System internal error!, System internal error!, System internal error!,
18,"""common.delete.confirm.message"": ""Are you sure to delete this item?"",",common.delete.confirm.message, Are you sure to delete this item?, Are you sure to delete this item?, Are you sure to delete this item?,
19,"""common.confirm.btn.yes"": ""Yes"",",common.confirm.btn.yes, Yes, Yes, Yes,
20,"""common.confirm.btn.cancel"": ""No"",",common.confirm.btn.cancel, No, No, No,
21,"""common.goods.placeholder"": ""Select"",",common.goods.placeholder, Select, Select, Select,
22,"""common.modal.confirm"": ""Confirm"",",common.modal.confirm, Confirm, Confirm, Confirm,
23,"""common.modal.confirm.ok"": ""Ok"",",common.modal.confirm.ok, Ok, Ok, Ok,
24,"""common.modal.confirm.cancel"": ""Cancel"",",common.modal.confirm.cancel, Cancel, Cancel, Cancel,
25,"""common.filters.isActive"": ""Active"",",common.filters.isActive, Active, Active, Active,
26,"""common.filters.nonActive"": ""Inactive"",",common.filters.nonActive, Inactive, Inactive, Inactive,
27,"""common.return.btn"": ""Return"",",common.return.btn, Return, Return, Return,
28,"""common.no.data"": ""No data"",",common.no.data, No data, No data, No data,
29,"""login.page.btn"": ""Login"",",login.page.btn, Login, Login, Login,
30,"""login.page.username.placeholder"": ""Username"",",login.page.username.placeholder, Username, Username, Username,
31,"""login.page.username.validation"": ""Please input your username!"",",login.page.username.validation, Please input your username!, Please input your username!, Please input your username!,
32,"""login.page.password.placeholder"": ""Password"",",login.page.password.placeholder, Password, Password, Password,
33,"""login.page.password.validation"": ""Please input your password!"",",login.page.password.validation, Please input your password!, Please input your password!, Please input your password!,
34,"""login.page.notification.warning"": ""Warning"",",login.page.notification.warning, Warning, Warning, Warning,
35,"""login.page.notification.serverError"": ""Internal server error!"",",login.page.notification.serverError, Internal server error!, Internal server error!, Internal server error!,
36,"""login.page.notification.tokenExpired"": ""Token expired!"",",login.page.notification.tokenExpired, Token expired!, Token expired!, Token expired!,
37,"""change.password.btn"": ""Change password"",",change.password.btn, Change password, Change password, Change password,
38,"""change.password.newPassword.placeholder"": ""New password"",",change.password.newPassword.placeholder, New password, New password, New password,
39,"""change.password.newPassword.validation"": ""Please input your password!"",",change.password.newPassword.validation, Please input your password!, Please input your password!, Please input your password!,
40,"""change.password.confirmNewPassword.placeholder"": ""Confirm new password"",",change.password.confirmNewPassword.placeholder, Confirm new password, Confirm new password, Confirm new password,
41,"""change.password.confirmNewPassword.validation"": ""Please input your password!"",",change.password.confirmNewPassword.validation, Please input your password!, Please input your password!, Please input your password!,
42,"""change.password.invalid"": ""Password is invalid!"",",change.password.invalid, Password is invalid!, Password is invalid!, Password is invalid!,
43,"""projects.title"": ""List of projects"",",projects.title, List of projects, List of projects, List of projects,
44,"""projects.bread.root"": ""Projects"",",projects.bread.root, Projects, Projects, Projects,
45,"""projects.table.columns.name"": ""Name"",",projects.table.columns.name, Name, Name, Name,
46,"""projects.table.columns.title"": ""Title"",",projects.table.columns.title, Title, Title, Title,
47,"""projects.table.columns.createdDate"": ""Created Date"",",projects.table.columns.createdDate, Created Date, Created Date, Created Date,
48,"""projects.table.columns.updatedDate"": ""Updated Date"",",projects.table.columns.updatedDate, Updated Date, Updated Date, Updated Date,
49,"""projects.table.columns.action"": ""Action"",",projects.table.columns.action, Action, Action, Action,
50,"""projects.create.title.create"": ""Create project"",",projects.create.title.create, Create project, Create project, Create project,
51,"""projects.create.title.update"": ""Update project"",",projects.create.title.update, Update project, Update project, Update project,
52,"""projects.create.logo"": ""Logo"",",projects.create.logo, Logo, Logo, Logo,
53,"""projects.create.logo.mimetype.error"": ""You can only upload JPG/PNG file!"",",projects.create.logo.mimetype.error, You can only upload JPG/PNG file!, You can only upload JPG/PNG file!, You can only upload JPG/PNG file!,
54,"""projects.create.logo.fileSize.error"": ""Image must smaller than 2MB!"",",projects.create.logo.fileSize.error, Image must smaller than 2MB!, Image must smaller than 2MB!, Image must smaller than 2MB!,
55,"""projects.create.name"": ""Name"",",projects.create.name, Name, Name, Name,
56,"""projects.create.name.validation"": ""Please input project name"",",projects.create.name.validation, Please input project name, Please input project name, Please input project name,
57,"""projects.create.title"": ""Title"",",projects.create.title, Title, Title, Title,
58,"""projects.create.title.validation"": ""Please input project title"",",projects.create.title.validation, Please input project title, Please input project title, Please input project title,
59,"""projects.create.code"": ""External email service code"",",projects.create.code, External email service code, External email service code, External email service code,
60,"""projects.create.source"": ""External email service source code"",",projects.create.source, External email service source code, External email service source code, External email service source code,
61,"""projects.create.copy.success"": ""The API key was copied"",",projects.create.copy.success, The API key was copied, The API key was copied, The API key was copied,
62,"""projects.create.users.title"": ""Users"",",projects.create.users.title, Users, Users, Users,
63,"""projects.create.users.media"": ""Media"",",projects.create.users.media, Media, Media, Media,
64,"""projects.create.file"": ""Image or 3D file"",",projects.create.file, Image or 3D file, Image or 3D file, Image or 3D file,
65,"""projects.create.code.validation"": ""Please input external email service code"",",projects.create.code.validation, Please input external email service code, Please input external email service code, Please input external email service code,
66,"""projects.create.source.validation"": ""Please select external email service source code"",",projects.create.source.validation, Please select external email service source code, Please select external email service source code, Please select external email service source code,
67,"""properties.title"": ""List of properties"",",properties.title, List of properties, List of properties, List of properties,
68,"""properties.bread.root"": ""Properties"",",properties.bread.root, Properties, Properties, Properties,
69,"""properties.table.columns.title"": ""Title"",",properties.table.columns.title, Title, Title, Title,
70,"""properties.table.columns.type"": ""Type"",",properties.table.columns.type, Type, Type, Type,
71,"""properties.table.columns.status"": ""Status"",",properties.table.columns.status, Status, Status, Status,
72,"""properties.table.columns.typology"": ""Typology"",",properties.table.columns.typology, Typology, Typology, Typology,
73,"""properties.table.columns.action"": ""Action"",",properties.table.columns.action, Action, Action, Action,
74,"""properties.create.items.title"": ""Title"",",properties.create.items.title, Title, Title, Title,
75,"""properties.create.items.status"": ""Status"",",properties.create.items.status, Status, Status, Status,
76,"""properties.create.items.type"": ""Type"",",properties.create.items.type, Type, Type, Type,
77,"""properties.create.items.goods"": ""Parent"",",properties.create.items.goods, Parent, Parent, Parent,
78,"""properties.create.items.goods.placeholder"": ""Select"",",properties.create.items.goods.placeholder, Select, Select, Select,
79,"""properties.create.items.neighbors"": ""Neighbors"",",properties.create.items.neighbors, Neighbors, Neighbors, Neighbors,
80,"""properties.create.items.floorPlan"": ""Floor plan"",",properties.create.items.floorPlan, Floor plan, Floor plan, Floor plan,
81,"""properties.create.items.typologies"": ""Typology"",",properties.create.items.typologies, Typology, Typology, Typology,
82,"""properties.create.items.projects"": ""Project"",",properties.create.items.projects, Project, Project, Project,
83,"""properties.create.items.addDomain"": ""Add a domain"",",properties.create.items.addDomain, Add a domain, Add a domain, Add a domain,
84,"""properties.create.items.addDomain.placeholder"": ""Select a field"",",properties.create.items.addDomain.placeholder, Select a field, Select a field, Select a field,
85,"""properties.create.items.addContactDetails"": ""Add coordinates details"",",properties.create.items.addContactDetails, Add coordinates details, Add coordinates details, Add coordinates details,
86,"""properties.create.items.addContactDetails.cut"": ""Size"",",properties.create.items.addContactDetails.cut, Size, Size, Size,
87,"""properties.create.items.addContactDetails.information"": ""Coordinates details"",",properties.create.items.addContactDetails.information, Coordinates details, Coordinates details, Coordinates details,
88,"""properties.create.items.addContactDetails.validation"": ""Please enter coordinates details"",",properties.create.items.addContactDetails.validation, Please enter coordinates details, Please enter coordinates details, Please enter coordinates details,
89,"""properties.create.items.addField"": ""Add field"",",properties.create.items.addField, Add field, Add field, Add field,
90,"""properties.placeholder.change.property"": ""Property"",",properties.placeholder.change.property, Property, Property, Property,
91,"""properties.label.change.property"": ""Select property"",",properties.label.change.property, Select property, Select property, Select property,
92,"""users.title"": ""Users list"",",users.title, Users list, Users list, Users list,
93,"""users.bread.root"": ""Users"",",users.bread.root, Users, Users, Users,
94,"""users.table.columns.email"": ""Email"",",users.table.columns.email, Email, Email, Email,
95,"""users.table.columns.login"": ""Login"",",users.table.columns.login, Login, Login, Login,
96,"""users.table.columns.name"": ""Name"",",users.table.columns.name, Name, Name, Name,
97,"""users.table.columns.lockedDate"": ""Locked"",",users.table.columns.lockedDate, Locked, Locked, Locked,
98,"""users.table.columns.isPasswordExpired"": ""Password expired"",",users.table.columns.isPasswordExpired, Password expired, Password expired, Password expired,
99,"""users.table.columns.isActive"": ""Is active"",",users.table.columns.isActive, Is active, Is active, Is active,
100,"""users.table.columns.lastLoginDate"": ""Last login date"",",users.table.columns.lastLoginDate, Last login date, Last login date, Last login date,
101,"""users.table.columns.action"": ""Action"",",users.table.columns.action, Action, Action, Action,
102,"""users.create.title.create"": ""Create user"",",users.create.title.create, Create user, Create user, Create user,
